starting manager
Using saved settings from: Workdir_PostSelEl_2016/SubmissinInfoSave.p
Found Submission Info for DATA_SingleElecB_2016v3
Found Submission Info for DATA_SingleElecC_2016v3
Found Submission Info for DATA_SingleElecD_2016v3
Found Submission Info for DATA_SingleElecE_2016v3
Found Submission Info for DATA_SingleElecF_2016v3
Found Submission Info for DATA_SingleElecG_2016v3
Found Submission Info for DATA_SingleElecH_2016v3
Found Submission Info for DATA_SinglePhotonB_ver2_2016v3
Found Submission Info for DATA_SinglePhotonC_2016v3
Found Submission Info for DATA_SinglePhotonD_2016v3
Found Submission Info for DATA_SinglePhotonE_2016v3
Found Submission Info for DATA_SinglePhotonF_2016v3
Found Submission Info for DATA_SinglePhotonG_2016v3
Found Submission Info for DATA_SinglePhotonH_2016v3
Found Submission Info for ST_t-channel_antitop_2016v3
Found Submission Info for ST_t-channel_top_2016v3
Found Submission Info for ST_s-channel_2016v3
Found Submission Info for ST_tW_antitop_2016v3
Found Submission Info for ST_tW_top_2016v3
Found Submission Info for Diboson_WW_2016v3
Found Submission Info for Diboson_WZ_2016v3
Found Submission Info for Diboson_ZZ_2016v3
Found Submission Info for TTbar_Mtt0000to0700_2016v3
Found Submission Info for TTbar_Mtt0700to1000_2016v3
Found Submission Info for TTbar_Mtt1000toInft_2016v3
Found Submission Info for TTbar_mtop1665_2016v3
Found Submission Info for TTbar_mtop1695_2016v3
Found Submission Info for TTbar_mtop1715_2016v3
Found Submission Info for TTbar_mtop1735_2016v3
Found Submission Info for TTbar_mtop1755_2016v3
Found Submission Info for TTbar_mtop1785_2016v3
Found Submission Info for TTbar_fsrup_2016v3
Found Submission Info for TTbar_fsrdown_2016v3
Found Submission Info for TTbar_isrup_2016v3
Found Submission Info for TTbar_isrdown_2016v3
Found Submission Info for TTbar_hdampup_2016v3
Found Submission Info for TTbar_hdampdown_2016v3
Found Submission Info for TTbar_GluonMove_2016v3
Found Submission Info for TTbar_QCDbased_2016v3
Found Submission Info for TTbar_TuneUp_2016v3
Found Submission Info for TTbar_TuneDown_2016v3
Found Submission Info for WJetsToLNu_HT-0100to0200_2016v3
Found Submission Info for WJetsToLNu_HT-0200to0400_2016v3
Found Submission Info for WJetsToLNu_HT-0400to0600_2016v3
Found Submission Info for WJetsToLNu_HT-0600to0800_2016v3
Found Submission Info for WJetsToLNu_HT-0800to1200_2016v3
Found Submission Info for WJetsToLNu_HT-1200to2500_2016v3
Found Submission Info for WJetsToLNu_HT-2500toInft_2016v3
Found Submission Info for DYJetsToLL_LO_M50_HT0070to0100_2016v3
Found Submission Info for DYJetsToLL_LO_M50_HT0100to0200_2016v3
Found Submission Info for DYJetsToLL_LO_M50_HT0200to0400_2016v3
Found Submission Info for DYJetsToLL_LO_M50_HT0400to0600_2016v3
Found Submission Info for DYJetsToLL_LO_M50_HT0600to0800_2016v3
Found Submission Info for DYJetsToLL_LO_M50_HT0800to1200_2016v3
Found Submission Info for DYJetsToLL_LO_M50_HT1200to2500_2016v3
Found Submission Info for DYJetsToLL_LO_M50_HT2500toInft_2016v3
Found Submission Info for QCD_Pt-0050to0080_EMEnriched_2016v3
Found Submission Info for QCD_Pt-0080to0120_EMEnriched_2016v3
Found Submission Info for QCD_Pt-0120to0170_EMEnriched_2016v3
Found Submission Info for QCD_Pt-0170to0300_EMEnriched_2016v3
Found Submission Info for QCD_Pt-0300toInft_EMEnriched_2016v3
Found Submission Info for QCD_Pt-0080to0170_bcToE_2016v3
Found Submission Info for QCD_Pt-0170to0250_bcToE_2016v3
Found Submission Info for QCD_Pt-0250toInft_bcToE_2016v3
 Result.xml created for further jobs
